Product keyword,TrexIDV2,Seller Facing Fee Category,Risk Factor
3d printers,3d_printers,"Business, Industrial, and Scientific Supplies",Low Risk
3d printing pens,3d_printers,"Business, Industrial, and Scientific Supplies",Low Risk
3d printer accessories,3d_printers_parts_accessories,"Business, Industrial, and Scientific Supplies",Low Risk
3d printer extruders,3d_printers_parts_accessories,"Business, Industrial, and Scientific Supplies",Low Risk
filament 3d printing materials,3d_printers_parts_accessories,"Business, Industrial, and Scientific Supplies",Low Risk
liquid 3d printing materials,3d_printers_parts_accessories,"Business, Industrial, and Scientific Supplies",Low Risk
tractors,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural fence accessories,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural fences,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural livestock electric fence chargers,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural machinery,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural machinery belts hoses and pulleys,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural machinery engine cooling and climate control,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural machinery engines and engine parts,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural machinery fuel system,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural machinery hydraulics,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural machinery lighting and electrical,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural machinery spare and replacement parts,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural machinery windshield wipers washers,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
beekeeping hive kits,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
beekeeping supplies,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
beekeeping tools,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
honey processing extractors,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
livestock handling supplies,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
livestock health equipment,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
poultry cage lights and heaters,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
poultry egg handling equipment,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
poultry equipment,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
poultry feeding equipment,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
poultry netting equipment,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
poultry watering equipment,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
3 point accessories,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
agricultural fencing,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
chicken poultry,agricultural_equipment_machinery,"Business, Industrial, and Scientific Supplies",Low Risk
wheelbarrow replacement parts,agricultural_equipment_machinery,All Other Categories,High Risk
home security from amazon,amazon_blink_accessories,All Other Categories,High Risk
amazon book reader accessories,amazon_book_reader_accessories,All Other Categories,High Risk
amazon device extended warranties,amazon_device_warranties,All Other Categories,High Risk
amazon echo accessories,amazon_echo_accessories,All Other Categories,High Risk
amazon fire accessories,amazon_fire_accessories,All Other Categories,High Risk
amazon ring accessories,amazon_ring_accessories,All Other Categories,High Risk
amazon tablet accessories,amazon_tablet_accessories,All Other Categories,High Risk
chemical resistant safety gloves,apparel_work_gloves,All Other Categories,High Risk
cut resistant safety gloves,apparel_work_gloves,All Other Categories,High Risk
garden gloves,apparel_work_gloves,All Other Categories,High Risk
non disposable safety gloves,apparel_work_gloves,All Other Categories,High Risk
safety gloves,apparel_work_gloves,All Other Categories,High Risk
welding safety gloves,apparel_work_gloves,All Other Categories,High Risk
work gloves,apparel_work_gloves,All Other Categories,High Risk
aquariums,aquariums_parts_accessories,All Other Categories,High Risk
aquarium air pump accessories,aquariums_parts_accessories,All Other Categories,High Risk
aquarium air pumps,aquariums_parts_accessories,All Other Categories,High Risk
aquarium algae scrapers,aquariums_parts_accessories,All Other Categories,High Risk
aquarium decor coral,aquariums_parts_accessories,All Other Categories,High Risk
aquarium decor live plants,aquariums_parts_accessories,All Other Categories,High Risk
