TrexID,Definition-Exclusion
horses_and_equestrian_tools_supplies,"
This class does not include products for animals other than horses (e.g., dog, cat, non-horse farm animal, etc.,). Human apparel used while cleaning horses (e.g., gloves, apron, etc.,) are excluded from this class. Equestrian apparel (e.g., pants, shirts, etc.,) and boots worn by human while riding are excluded from this class.
"
watches,"
This class does not include wall clocks. Smartwatches are not part of this class. Parts and accessories of watches (e.g., bands and cases) are excluded from this class.
"
home_mats_rugs,"
This class does not include wall-to-wall carpeting, area carpeting, or rugs larger than room size. Carpet and mat underlayment (i.e., products used to fix floor covering in place) are excluded from this class. Rug making supplies (e.g., tufting cloth, rug backing fabric, tufted textile base, etc.,) are excluded from this class. Products to prevent rugs and carpets from slipping and curling (e.g., rug grippers, carpet fasteners, corner curl stoppers, anti-slip pads, etc.,) are excluded from this class. Floor covering tiles (e.g., cork floor tiles, interlocking floor tiles, cork floating floor, etc.,) are excluded from this class.
"
mechanical_parts_accessories,"
Automotive hydraulic systems (e.g., shock absorbers, etc.,) are not part of this class. Water pumps are not part of this class. Hydraulic equipment for agricultural machinery is not part of this class. This class does not include electronic controllers, valves, motors, or hydraulic fluids.
"
tactical_defense_gear,"
This class does not include weapons such as firearms, knives, or batons. This class does not include general pepper spray for animal deterrent, children's toy handcuffs, or military and law enforcement equipment not designed for personal use. Protective gear used for sports and works (e.g., protective vest, goggles, hamlets, etc.,) are not part of this class.
"
home_linens,"
This class does not include apparel, carpets, or industrial textiles. Baby products (blanket, pillow, towed etc.,) are excluded from this class. Wearable blankets are not part of this class. Bibs for infants and disposable napkins are excluded from this class. Seat cushions for car seats are not part of this class. Covers for outdoor appliances (e.g., lawn mowers, etc.,) outdoor grills, and patio umbrella are not part of this class. Outdoor sleeping bags are not part of this class. Mattresses and mattress pads are excluded from this class. Towels and cloths marketed for use in home and dish cleaning (e.g., dish towel, dish cloths, etc.,) are excluded from this class. 
"
electronics_av_radios,"
This class does not include products like home stereo systems, car stereo systems, or commercial broadcast radios. Parts and accessories radios are excluded from this class. Radio antennas are not part of this class. Headsets without built-in radio capability are not part of this class. Radios designed and marketed for automotive are excluded from this class. Radio tuners that are attached to computer to allow receiving radio signal are not part of this class.
"
av_media_players_recorders,"
This class does not include products like televisions, radios, or gaming consoles that can also play audio and video but are not dedicated playback devices. This class does not include CD, DVD or any software. CD and DVD drives for computer are not part of this class. Professional studio audio recording equipment are not part of this class. Audio and video players for cars are not part of this class. Audio/video converters (e.g., analog to digital converters, etc.,) are not part of this class. Parts and accessories for media players (e.g., batteries, chargers, cases, bags, etc.,) are not part of this class. Headphones are not part of this class. 
"
camping_equipment,"
Backpacks and their accessories (e.g., backpack covers, etc.,) are excluded from this class. This class does not include emergency, survival or first aid kits that are not specifically marketed for camping (e.g., vehicles emergency kits, home emergency kits, general first aid kits, etc.,). Kitchenware, cookware, and utensils that are marketed for home use are excluded from this class. Water filtration, storage, and purification devices for home use or for use in automotive (e.g., RVs) are not part of this class. Outdoor stoves and grills (e.g., camping grills, camping stoves, etc.,) are not part of this class. First aid kits for emergency and compact use (e.g., portable, waterproof, emergency first-aid kits; compact, durable first-aid kits, etc.,) are excluded from this class. Blankets for outdoor activities and camping (e.g., waterproof picnic blankets, picnic blankets, etc.,) are not part of this class. Portable or inflatable pillows and cushions for camping and travel (e.g., portable inflatable pillow, etc.,) are not part of this class. Heat blanks for emergency retention are not in this class. Seat cushions for portable chairs are not in this class. Camping stove fuel is not part of this class. Air mattress or sleeping pads marketed for use in camping are not part of this class. Hammocks are excluded from this class. 
"
toys_other,"
Apparel costumes and their accessories are not part of this class. Toys marketed as toys for pets are excluded from this class. Jewelry (e.g., bracelets, necklaces, rings, etc.,) items specifically marketed as toys or for use in a costume are excluded from this class. Video games, video games consoles, and arcades are not part of this class. Drones and quadcopter are not part of this class. Batteries and charger for electronic toys are excluded from this class. Musical instrument marketed as toys or musical education are excluded from this class. Sports equipment such as sport balls are excluded from this class. Inflatable pools are not part of this class. Digital camera and MP3 players marketed as toy or for use by children are not part of this class. 3D printers and 3D printing pens marketed for children, or as a toy, or to print toys/models are excluded from this class. Electronic two-way radios for children use or marketed as toys are excluded from this class. Kids' telescopes, binoculars, and monocular are excluded from this class. Smart watches and trackers for kids are excluded from this class. Equipment for combat sports (e.g., paintball, airsoft, etc.,) are not part of this class. Non-electronic dance mats are not part of this class. Furniture for table top games (e.g., poker tables, shuffleboard tables, etc.,) are not part of this class. Tactical vests for combat simulation games (e.g., adjustable tactical vests, nerf vests, training vests, etc.,) are excluded from this class. Arts and crafts kits for bead crafts are excluded from this class. Drawing arts supplies for children (e.g., water drawing mats, unicorn mermaid coloring sets, magic water doodle bundles, glow-in-the-dark, art supply starter sets, etc.,) are excluded from this class. Modeling clay kits and sculpting sets (e.g., clay modeling kits, clay superhero sculpting sets, etc.,) are excluded from this class. Plush backpacks for children (e.g., plush emoji poop backpack, 3D rabbit kid backpack, pineapple stuffed animal backpack, baby shark plush backpack, etc.,) are excluded from this class. Figurines and status marketed for outdoor and lawn decoration are not part of this class. Educational supplies and materials for classroom and academic settings (e.g., anatomical models, science classroom specimens, academic and sport awards, educational and classroom prints, banners, borders, science posters, etc.,) are not part of this class. Jewelry (e.g., bracelets, necklaces, rings, etc.,) items specifically marketed as toys or for use in a costume are not part of this class. Toy and figurine organization and display products (e.g., toy display cases, toy baskets, etc.,) are excluded from this class. Valuable coins made of silver and gold are not part of this class. Plush purses are excluded from this class. 
"
agricultural_equipment_and_heavy_machinery_incl_accessories,"
This class does not contain tools and machines used for maintaining outdoor garden (e.g., lawn mowers, string trimmers, snow blowers, etc.,). Agricultural seeds, fertilizers, chemicals are not part of this class. Batteries and chargers used for agricultural tools are excluded from this class. Tire, wheels, tubes, and rims for agricultural machinery such as tractors are excluded from this class. All pet products such as feeding equipment, food, health and dietary supplements, and medicine are excluded from this class. Apparel workwear used in agricultural activities are excluded from this class. Parts and accessories for lawn mowers are not part of this class. Oil and lubricant for agricultural machinery (e.g., tractors, combines, etc.,) are not part of this class. Forklifts and their accessories (e.g., replacement seats, etc.,) are excluded from this class. Horse farrier tools are excluded from this class. Wheelbarrows and their replacement parts are excluded from this class. This class does not include printed manuals for agriculture equipment and machinery.
"
electronics_printers_scanners,"
Parts and accessories of printers and scanners are excluded from this class. 3D printers are excluded from this class. Tools and equipment for screen and press printing are excluded from this class.
"
tools_security_props,"
This class does not include actual home security cameras or other authentic home protection devices.
"
mobility_parts_accessories_including_wheelchairs,"
Scooters designed and marketed for sport and recreational use are not part of this class. Batteries and chargers for mobility equipment (e.g., wheelchairs, scooters, etc.,) are not part of this class. Bath assistance devices designed and marketed for babies and children are not part of this class. Home safety equipment marketed for baby-proofing home are not part of this class. Knee and leg positioner pillows (e.g., knee support pillow, etc.,) are excluded from this class. Orthopedic support pillows and cushions for alignment and pain relief (e.g., knee support pillow, back alignment cushion, side sleeping ear protection pad, massage therapy bolster, hip and leg alignment pillow, etc.,) are excluded from this class. Cushions designed to provide comfort, support, and pain relief for sitting (e.g., tailbone pain relief cushion, office chair back support cushion, travel seat memory foam cushion, office chair posture support cushion, etc.,) are excluded from this class. Back and lumbar support pillows for improved posture and pain relief (e.g., lower back support pillow, ergonomic lumbar support pillow, lower back alignment pillow, back support for sitting positions, seat cushion and lumbar pillow, etc.,) are excluded from this class. This class excludes commercial/medical scales designed for use in medical facilities, even though they may contain features related to mobility aids and measurement tools (e.g., wheelchair scales, etc.)
"
bags_baby,"
This class does not include general purpose bags or non-baby specific accessories. This class does not include linens for baby and infant (e.g., diapers, baby diaper covers etc.,). This class does not include disposable bags marketed for collection of waste (e.g., diaper disposal bags etc.,).
"
instruments_incl_accessories,"
This class does not include music tracks. Musical education books are not part of this class. Bags and cases for musical instruments are excluded from this class. Musical instruments marketed specifically as toys are excluded from this class. Seating Furniture used while playing instruments (e.g., piano benches, etc.,) are not part of this class. Guitar and musical instrument amplifiers (e.g., acoustic guitar amplifiers, portable practice amplifier, electric guitar amplifier, bass guitar amplifier, basic guitar amplifier, etc.,) are excluded from this class. Synthesizer and workstation and their keyboards are excluded from this class. Cases and bags for piano and keyboards are excluded from this class. 
"
tools_carts,"
This class does not include furniture such as beds, sofas, desks, or dining sets. Racks and starts are not part of this class. Tires and tubes for wheelbarrows are not part of this class. 
"
baby_products_other,"
This class does not include general baby products like diapers, wipes, toys, clothing, nursery furniture, strollers, etc. Apparel for infants (e.g., infant shorts, infant bloomers, swimsuits, etc.,) are not part of this class. Diapers and diapering accessories (e.g., diaper changing pads and covers etc.,) are excluded from this class. Infant pajamas and sleepers are not part of this class. Child carrying backpacks are not part of this class. Child car safety seats and accessories designed to safely transport children in vehicles are not part of this class. Picture frames marketed for babies (e.g., nursery picture frames, baby keepsake frames, etc.,) are excluded from this class. Photo albums marketed for babies are not part of this class. 
"
compact_appliances_other,"
 This class does not include full-size dishwashers (e.g., built-in dishwashers, drawer dishwashers, etc.,). This class does not include countertop microwaves. Dishwasher replacement parts or accessories are not part of this class. 
"
fixtures_wall_boards,"
This class does not include digital displays (e.g., signage or computer monitors, video screens., etc.,). Chalkboards specifically marketed for decorative use (non-functional) are not part of this class.
"
electric_water_dispenser_coolers,"
Unpowered (non-electric) water dispensers are not part of this class. Unpowered (non-electric) cooling boxes and bags are not part of this class. Lunch boxes and bags are not part of this class. Cool boxes marketed for safe transportation of medical supplies (e.g., drug cool boxes, etc.,) are not part of this class. Parts and accessories for water dispenser and coolers are not part of this class. Refrigerators are not part of this class. Water dispensers that are part of a refrigerator are excluded from this class. 
"
