Marketplace,Seller facing Fee Category,Fees%
US,Amazon Device Accessories,45%
US,Automotive and Powersports,12%
US,Baby Products,≤$10: 8% | >$10: 15% (total)
US,"Backpacks, Handbags, and Luggage",15%
US,Base Equipment Power Tools,12%
US,"Beauty, Health and Personal Care",≤$10: 8% | >$10: 15% (total)
US,"Business, Industrial, and Scientific Supplies",12%
US,Clothing and Accessories,≤$15: 5% | >$15 to ≤$20: 10% | >$20: 17% (total)
US,Compact Appliances,Up to $300: 15% | Over $300: 8% (tiered)
US,Computers,8%
US,Consumer Electronics,8%
US,Electronic Accessories,Up to $100: 15% | Over $100: 8% (tiered)
US,Everything Else,15%
US,Eyewear,15%
US,Footwear,15%
US,Full-Size Appliances,8%
US,Furniture,Up to $200: 15% | Over $200: 10% (tiered)
US,Gift Cards,20%
US,Grocery and Gourmet,≤$15: 8% | >$15: 15% (total)
US,Home and Kitchen,15%
US,Jewelry,Up to $250: 20% | Over $250: 5% (tiered)
US,Lawn and Garden,15%
US,Lawn Mowers and Snow Throwers,Up to $500: 15% | >$500: 8% (total)
US,Mattresses,15%
US,"Media - Books, DVD, Music, Software, Video",15%
US,Musical Instruments and AV Production,15%
US,Office Products,15%
US,Pet Products,"15%, except 22% for veterinary diets"
US,Sports and Outdoors,15%
US,Tires,10%
US,Tools and Home Improvement,15%
US,Toys and Games,15%
US,Video Game Consoles,8%
US,Video Games and Gaming Accessories,15%
US,Watches,Up to $1500: 16% | Over $1500: 3% (tiered)
CA,Amazon Device Accessories,45%
CA,Automotive and Powersports,12%
CA,Baby Products,≤$15: 8% | >$15: 15% (total)
CA,"Backpacks, Handbags, and Luggage",15%
CA,Base Equipment Power Tools,12%
CA,"Beauty, Health and Personal Care",≤$15: 8% | >$15: 15% (total)
CA,"Business, Industrial, and Scientific Supplies",12%
CA,Clothing and Accessories,<$20: 10% | ≥$20: 17% (total)
CA,Compact Appliances,Up to $300: 15% | Over $300: 8% (tiered)
CA,Computers,8%
CA,Consumer Electronics,8%
