Product keyword,Seller Facing Fee Category,Risk Factor
industrial - Additive Manufacturing Products - 3D Printer Parts & Accessories,3D Printer,Low Risk
industrial - Additive Manufacturing Products - 3D Printers,3D Printer,Low Risk
sporting-goods - Tennis - Clothing - Girls - Dresses,Apparel - Dress,Low Risk
sporting-goods - Tennis - Clothing - Women - Dresses,Apparel - Dress,Low Risk
apparel - Girls - Dresses & Jumpsuits - Dresses,Apparel - Dress,Low Risk
apparel - Girls - Sportswear - Sports Dresses,Apparel - Dress,Low Risk
apparel - Novelty & Special Use Clothing - Erotic Apparel - Women's - Dresses,Apparel - Dress,Low Risk
apparel - Novelty & Special Use Clothing - German Traditional Costumes - Women's - Dirndl Dresses,Apparel - Dress,Low Risk
apparel - Women - Ethnic Wear - Gowns,Apparel - Dress,Low Risk
apparel - Women - Maternity - Western Wear - Dresses,Apparel - Dress,Low Risk
apparel - Women - Sportswear - Active Dresses,Apparel - Dress,Low Risk
apparel - Women - Western Wear - Dresses & Jumpsuits - Dresses,Apparel - Dress,Low Risk
sporting-goods - Cheerleading - Clothing - Girls - Uniforms - Dresses,Apparel - Dress,Low Risk
sporting-goods - Cheerleading - Clothing - Women - Uniforms - Dresses,Apparel - Dress,Low Risk
sporting-goods - Dance - Clothing - Girls - Dresses,Apparel - Dress,Low Risk
sporting-goods - Dance - Clothing - Women - Dresses,Apparel - Dress,Low Risk
sporting-goods - Netball - Clothing - Girls - Dresses,Apparel - Dress,Low Risk
sporting-goods - Netball - Clothing - Women - Dresses,Apparel - Dress,Low Risk
sporting-goods - Winter Sports - Ice Skating - Clothing - Girls - Dresses,Apparel - Dress,Low Risk
sporting-goods - Winter Sports - Ice Skating - Clothing - Women - Dresses,Apparel - Dress,Low Risk
"apparel - Baby - Baby Boys - Ethnic Wear - Dhotis, Mundus & Lungis",Apparel - Ethnic wear,Low Risk
apparel - Baby - Baby Boys - Ethnic Wear - Ethnic Jackets,Apparel - Ethnic wear,Low Risk
apparel - Baby - Baby Boys - Ethnic Wear - Kurta Sets,Apparel - Ethnic wear,Low Risk
apparel - Baby - Baby Boys - Ethnic Wear - Kurtas,Apparel - Ethnic wear,Low Risk
apparel - Baby - Baby Boys - Ethnic Wear - Pyjamas,Apparel - Ethnic wear,Low Risk
apparel - Baby - Baby Boys - Ethnic Wear - Sherwanis,Apparel - Ethnic wear,Low Risk
apparel - Baby - Baby Girls - Ethnic Wear - Bottomwear,Apparel - Ethnic wear,Low Risk
apparel - Baby - Baby Girls - Ethnic Wear - Kurtas & Kurtis,Apparel - Ethnic wear,Low Risk
apparel - Baby - Baby Girls - Ethnic Wear - Lehenga Cholis,Apparel - Ethnic wear,Low Risk
"apparel - Boys - Ethnic Wear - Dhotis, Mundus & Lungis",Apparel - Ethnic wear,Low Risk
apparel - Boys - Ethnic Wear - Kurta Sets,Apparel - Ethnic wear,Low Risk
apparel - Boys - Ethnic Wear - Kurtas,Apparel - Ethnic wear,Low Risk
apparel - Boys - Ethnic Wear - Nehru Jackets,Apparel - Ethnic wear,Low Risk
apparel - Boys - Ethnic Wear - Pyjamas,Apparel - Ethnic wear,Low Risk
apparel - Boys - Ethnic Wear - Sherwanis,Apparel - Ethnic wear,Low Risk
apparel - Boys - Unstitched Fabrics - Ethnic,Apparel - Ethnic wear,Low Risk
apparel - Girls - Ethnic Wear - Bottom Wear,Apparel - Ethnic wear,Low Risk
apparel - Girls - Ethnic Wear - Dupattas,Apparel - Ethnic wear,Low Risk
apparel - Girls - Ethnic Wear - Half Sarees,Apparel - Ethnic wear,Low Risk
apparel - Girls - Ethnic Wear - Kurtas & Kurtis,Apparel - Ethnic wear,Low Risk
apparel - Girls - Ethnic Wear - Lehenga Cholis,Apparel - Ethnic wear,Low Risk
apparel - Girls - Ethnic Wear - Salwar Suit Sets,Apparel - Ethnic wear,Low Risk
"apparel - Men - Ethnic Wear - Dhotis, Mundus & Lungis - Dhotis & Mundus",Apparel - Ethnic wear,Low Risk
"apparel - Men - Ethnic Wear - Dhotis, Mundus & Lungis - Lungis",Apparel - Ethnic wear,Low Risk
apparel - Men - Ethnic Wear - Kurta Sets,Apparel - Ethnic wear,Low Risk
apparel - Men - Ethnic Wear - Kurtas,Apparel - Ethnic wear,Low Risk
apparel - Men - Ethnic Wear - Nehru Jackets & Vests,Apparel - Ethnic wear,Low Risk
apparel - Men - Ethnic Wear - Pyjamas,Apparel - Ethnic wear,Low Risk
apparel - Men - Ethnic Wear - Safari Suits,Apparel - Ethnic wear,Low Risk
apparel - Men - Ethnic Wear - Sherwanis,Apparel - Ethnic wear,Low Risk
apparel - Men - Ethnic Wear - Stoles,Apparel - Ethnic wear,Low Risk
apparel - Women - Ethnic Wear - Kurtas & Kurtis,Apparel - Ethnic wear,Low Risk
apparel - Women - Ethnic Wear - Salwar Suits,Apparel - Ethnic wear,Low Risk
apparel - Women - Maternity - Ethnic Wear - Maternity Kurtas & Kurtis,Apparel - Ethnic wear,Low Risk
apparel - Women - Maternity - Ethnic Wear - Salwar Suits,Apparel - Ethnic wear,Low Risk
sporting-goods - American Football - Clothing - Boys - Jerseys,Apparel - Shirts,Low Risk
sporting-goods - American Football - Clothing - Girls - Jerseys,Apparel - Shirts,Low Risk
