Product keyword,TrexID,Seller Facing Fee Category,Risk Factor
3d printers,3d_printers,Commercial Electrical and Energy Supplies,Low Risk
3d printing pens,3d_printers,Commercial Electrical and Energy Supplies,Low Risk
3d printer accessories,3d_printers_parts_accessories,Commercial Electrical and Energy Supplies,Low Risk
3d printer extruders,3d_printers_parts_accessories,Commercial Electrical and Energy Supplies,Low Risk
filament 3d printing materials,3d_printers_parts_accessories,Commercial Electrical and Energy Supplies,Low Risk
liquid 3d printing materials,3d_printers_parts_accessories,Commercial Electrical and Energy Supplies,Low Risk
adhesive caulk,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
adhesive dispensers,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
adhesive hook and loop strips,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
adhesive putty,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
adhesive tapes,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
adhesive transfer tape,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
art adhesive removers,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
arts and crafts glue guns,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
arts and crafts glue gun sticks,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
arts and crafts glues,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
arts and crafts tapes,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
automotive adhesives,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
automotive adhesives and sealants,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
automotive tape,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
automotive thread lock sealers,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
butyl tape,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
carton sealing tape,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
clear tape dispensers,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
clear tapes,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
commercial access door trims seals and gaskets,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
conductive adhesives,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
construction glue guns,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
contact cements,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
correction tape,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
cyanoacrylate adhesives,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
duct tape,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
electrical tape,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
epoxy adhesives,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
fabric adhesives,adhesive_tapes_gums_sealants,Home Adhesives and Cable Ties,Low Risk
