Product keyword,trexv3,Seller facing Fee Category,Risk Factor
3d printing pens,3d_printers,"Business, Industrial, and Scientific Supplies",Low Risk
3d printers,3d_printers,"Business, Industrial, and Scientific Supplies",Low Risk
3d printer extruders,3d_printers_parts_accessories,"Business, Industrial, and Scientific Supplies",Low Risk
3d printer accessories,3d_printers_parts_accessories,"Business, Industrial, and Scientific Supplies",Low Risk
liquid 3d printing materials,3d_printers_parts_accessories,"Business, Industrial, and Scientific Supplies",Low Risk
filament 3d printing materials,3d_printers_parts_accessories,"Business, Industrial, and Scientific Supplies",Low Risk
adhesive transfer tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
automotive thread lock sealers,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
hand caulking guns,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
industrial sealants,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
arts and crafts glue gun sticks,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
automotive tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
sealants,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
conductive adhesives,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
arts and crafts tapes,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
faucet o rings,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
contact cements,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
mounting tapes,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
silicone caulk,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
butyl tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
gaffer tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
hardware sealers,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
clear tapes,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
weatherproofing window insulation kits,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
wood glues,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
adhesive tapes,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
industrial labeling tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
weatherproofing,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
magnetic tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
automotive adhesives and sealants,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
painters masking tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
commercial access door trims seals and gaskets,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
adhesive hook and loop strips,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
tile mortar adhesives,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
high temperature tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
multipurpose flooring adhesives,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
automotive adhesives,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
masking tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
fabric adhesives,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
adhesive dispensers,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
urethane adhesives,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
packing tape dispensers,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
cyanoacrylate adhesives,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
arts and crafts glue guns,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
hobby modeling adhesives,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
rv sealants,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
labeling tape,adhesive_tapes_gums_sealants,Tools and Home Improvement,Low Risk
