Product keyword,TrexID,Seller Facing Fee Category,Risk Factor
amazon device warranties,amazon_device_accessories,Amazon Device Accessories,Low Risk
amazon echo accessories,amazon_device_accessories,Amazon Device Accessories,Low Risk
amazon fire tablet accessories,amazon_device_accessories,Amazon Device Accessories,Low Risk
amazon fire tv accessories,amazon_device_accessories,Amazon Device Accessories,Low Risk
amazon kindle accessories,amazon_device_accessories,Amazon Device Accessories,Low Risk
amazon ring accessories,amazon_device_accessories,Amazon Device Accessories,Low Risk
car seat cushions,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive steering wheel locking devices,automotive_parts_accessories,Automotive and Powersports,High Risk
rv locks,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive weather stripping products,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive batteries,automotive_batteries_and_chargers,Automotive and Powersports,High Risk
automotive battery chargers,automotive_batteries_and_chargers,Automotive and Powersports,High Risk
boating battery chargers,automotive_batteries_and_chargers,Automotive and Powersports,High Risk
powersports batteries,automotive_batteries_and_chargers,Automotive and Powersports,High Risk
powersports battery chargers,automotive_batteries_and_chargers,Automotive and Powersports,High Risk
auto floor jacks,automotive_lifts_jacks,Automotive and Powersports,High Risk
automotive lift supports,automotive_lifts_jacks,Automotive and Powersports,High Risk
clearfloor lifts,automotive_lifts_jacks,Automotive and Powersports,High Risk
engine hoists and stands,automotive_lifts_jacks,Automotive and Powersports,High Risk
jack stands,automotive_lifts_jacks,Automotive and Powersports,High Risk
powersports stands,automotive_lifts_jacks,Automotive and Powersports,High Risk
rv jacks,automotive_lifts_jacks,Automotive and Powersports,High Risk
rv jacks and stabilizers,automotive_lifts_jacks,Automotive and Powersports,High Risk
scissor lift jacks,automotive_lifts_jacks,Automotive and Powersports,High Risk
stabilizer jacks,automotive_lifts_jacks,Automotive and Powersports,High Risk
transmission jacks,automotive_lifts_jacks,Automotive and Powersports,High Risk
vehicle lifts and jacks,automotive_lifts_jacks,Automotive and Powersports,High Risk
automotive air conditioning refrigerant,automotive_oils_fluids,Automotive and Powersports,High Risk
automotive antifreeze,automotive_oils_fluids,Automotive and Powersports,High Risk
automotive diesel additives,automotive_oils_fluids,Automotive and Powersports,High Risk
automotive gas additives,automotive_oils_fluids,Automotive and Powersports,High Risk
automotive gear oils,automotive_oils_fluids,Automotive and Powersports,High Risk
automotive heavy duty antifreeze coolant diesel exhaust fluid,automotive_oils_fluids,Automotive and Powersports,High Risk
automotive hydraulic fluids,automotive_oils_fluids,Automotive and Powersports,High Risk
automotive lithium grease,automotive_oils_fluids,Automotive and Powersports,High Risk
automotive oil additives,automotive_oils_fluids,Automotive and Powersports,High Risk
bike oils,automotive_oils_fluids,Automotive and Powersports,High Risk
motor oils,automotive_oils_fluids,Automotive and Powersports,High Risk
powersports engine oils,automotive_oils_fluids,Automotive and Powersports,High Risk
transmission fluids,automotive_oils_fluids,Automotive and Powersports,High Risk
two stroke small engine oil,automotive_oils_fluids,Automotive and Powersports,High Risk
aftermarket tpms,automotive_parts_accessories,Automotive and Powersports,High Risk
air conditioning manifolds,automotive_parts_accessories,Automotive and Powersports,High Risk
auto battery testers,automotive_parts_accessories,Automotive and Powersports,High Risk
auto body spray guns,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive accessory power relays,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air bag scan tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air cleaner intake hoses,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air conditioning compressors,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air conditioning condensers,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air conditioning refrigerant recovery tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air conditioning repair tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air conditioning vacuum pumps,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air dams,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air dryers,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air filters,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air fresheners,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air fuel ratio sensors,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive air horns,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive alternators,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive antilock braking system wheel speed sensors,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive armrests,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive aroma diffusers,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive ashtrays,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive automatic transmission parts,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive automatic transmission rebuild kits,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive automatic transmission torque converters,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive axle bearing and hub assemblies,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive backup alarms,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive back up light bulbs,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive ball joint tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive battery switches,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive battery terminals,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive bearing pullers,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive bike racks,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive blind spot mirrors,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive body armor,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive body clips,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive body kits,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive body paint,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive body parts,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive body repair putties,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive body reservoirs,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive brake adjusting tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive brake bleeding tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive brake cleaners,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive brake flaring tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive brake hydraulics,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive brake lines,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive brake line tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive braking system equipment,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive bras,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive bumper covers,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive bumper guards,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive bumpers,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cabin air filters,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive carburetor repair kits,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive carburetors,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive care products,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cargo bags,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cargo bars,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cargo baskets,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cargo boxes,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cargo brackets,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cargo liners,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cargo nets,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cargo rack adapters,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cargo racks,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive carpeting,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive catalytic converters,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive ceiling liners,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive center consoles,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cigarette lighters,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive circuit breakers,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cleaning kits,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cleaning products,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cleaning sponges and mitts,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive clear coat paints,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive clutch pressure plates and disc sets,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cold air intake components,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive collision repair sets,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive combination brake and tail light assemblies,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive combination driving and fog light assemblies,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive combo turn signal side marker light assemblies,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive complete shock assemblies,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive constant velocity half shaft assemblies,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive convertible soft tops,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive convertible tops,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive crankcase ventilation filters,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cruise control switches,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive cup holders,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive dashboards,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive dash covers,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive daytime running lights,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive detailing tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive diagnostic tools,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive differential covers,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive differentials,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive disc brake calipers without pads,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive disc brake kits,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive disc brake pads,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive disc brake rotors,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive distributors,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive door conversion kits,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive door entry protectors,automotive_parts_accessories,Automotive and Powersports,High Risk
automotive door lock switches,automotive_parts_accessories,Automotive and Powersports,High Risk
