Product keyword,TrexIDV2,Seller Facing Fee Category,Risk Factor
automotive air fresheners,automotive_accessories_cabin,Automotive,High Risk
automotive cargo baskets,automotive_accessories_cabin,Automotive,High Risk
automotive cargo liners,automotive_accessories_cabin,Automotive,High Risk
automotive cargo nets,automotive_accessories_cabin,Automotive,High Risk
automotive dash covers,automotive_accessories_cabin,Automotive,High Risk
automotive door entry protectors,automotive_accessories_cabin,Automotive,High Risk
automotive escape tools,automotive_accessories_cabin,Automotive,High Risk
automotive exact fit seat covers,automotive_accessories_cabin,Automotive,High Risk
automotive garbage cans,automotive_accessories_cabin,Automotive,High Risk
automotive glove box organizers,automotive_accessories_cabin,Automotive,High Risk
automotive interior accessories,automotive_accessories_cabin,Automotive,High Risk
automotive interior visors,automotive_accessories_cabin,Automotive,High Risk
automotive jump starters,automotive_accessories_cabin,Automotive,High Risk
automotive safety kits,automotive_accessories_cabin,Automotive,High Risk
automotive seat accessories,automotive_accessories_cabin,Automotive,High Risk
automotive seat back kick protectors,automotive_accessories_cabin,Automotive,High Risk
automotive seat back organizers,automotive_accessories_cabin,Automotive,High Risk
automotive seat belt pads,automotive_accessories_cabin,Automotive,High Risk
automotive seat covers,automotive_accessories_cabin,Automotive,High Risk
automotive seat cushions,automotive_accessories_cabin,Automotive,High Risk
automotive soundproofing kits,automotive_accessories_cabin,Automotive,High Risk
automotive steering wheel accessories,automotive_accessories_cabin,Automotive,High Risk
automotive steering wheel covers,automotive_accessories_cabin,Automotive,High Risk
automotive steering wheel spinners,automotive_accessories_cabin,Automotive,High Risk
automotive trays and bags,automotive_accessories_cabin,Automotive,High Risk
automotive trunk organizers,automotive_accessories_cabin,Automotive,High Risk
automotive under seat consoles,automotive_accessories_cabin,Automotive,High Risk
automotive universal fit seat covers,automotive_accessories_cabin,Automotive,High Risk
car floor mats,automotive_accessories_cabin,Automotive,High Risk
exact fit windshield sun shades,automotive_accessories_cabin,Automotive,High Risk
powersports grips,automotive_accessories_cabin,Automotive,High Risk
powersports seat covers,automotive_accessories_cabin,Automotive,High Risk
rv interior accessories,automotive_accessories_cabin,Automotive,High Risk
side car window sun shades,automotive_accessories_cabin,Automotive,High Risk
windshield sun shades,automotive_accessories_cabin,Automotive,High Risk
car seat attachable storage and organizers,automotive_accessories_cabin,Automotive,High Risk
automotive decortaive hangings,automotive_accessories_cabin,Automotive,High Risk
automotive aroma diffusers,automotive_accessories_cabin,Automotive,High Risk
automotive ceiling liners,automotive_accessories_cabin,Automotive,High Risk
automotive interior sets,automotive_accessories_cabin,Automotive,High Risk
automotive seat cover sets,automotive_accessories_cabin,Automotive,High Risk
automotive battery chargers,automotive_accessories_chargers,Automotive,High Risk
automotive portable charging products,automotive_accessories_chargers,Automotive,High Risk
boating battery chargers,automotive_accessories_chargers,Automotive,High Risk
electric vehicle charging stations,automotive_accessories_chargers,Automotive,High Risk
powersports battery chargers,automotive_accessories_chargers,Automotive,High Risk
sports scooter battery chargers,automotive_accessories_chargers,Automotive,High Risk
electric vehicle charging station accessories,automotive_accessories_chargers,Automotive,High Risk
automotive blind spot mirrors,automotive_accessories_exterior,Automotive,High Risk
automotive cargo bars,automotive_accessories_exterior,Automotive,High Risk
automotive bike racks,automotive_accessories_exterior,Automotive,High Risk
automotive bras,automotive_accessories_exterior,Automotive,High Risk
automotive bumper covers,automotive_accessories_exterior,Automotive,High Risk
automotive bumper guards,automotive_accessories_exterior,Automotive,High Risk
automotive cargo bags,automotive_accessories_exterior,Automotive,High Risk
automotive cargo rack adapters,automotive_accessories_exterior,Automotive,High Risk
automotive cargo racks,automotive_accessories_exterior,Automotive,High Risk
automotive differential covers,automotive_accessories_exterior,Automotive,High Risk
automotive differentials,automotive_accessories_exterior,Automotive,High Risk
automotive drawbar hitches,automotive_accessories_exterior,Automotive,High Risk
automotive exterior accessories,automotive_accessories_exterior,Automotive,High Risk
automotive fifth wheel hitches,automotive_accessories_exterior,Automotive,High Risk
automotive gooseneck hitches,automotive_accessories_exterior,Automotive,High Risk
automotive grille inserts,automotive_accessories_exterior,Automotive,High Risk
automotive hitch covers,automotive_accessories_exterior,Automotive,High Risk
automotive hitch steps,automotive_accessories_exterior,Automotive,High Risk
automotive hood deflectors,automotive_accessories_exterior,Automotive,High Risk
automotive hood pins,automotive_accessories_exterior,Automotive,High Risk
automotive hubcaps,automotive_accessories_exterior,Automotive,High Risk
automotive kayak racks,automotive_accessories_exterior,Automotive,High Risk
automotive license plate covers,automotive_accessories_exterior,Automotive,High Risk
automotive license plate frames,automotive_accessories_exterior,Automotive,High Risk
automotive passenger vehicle snow chains,automotive_accessories_exterior,Automotive,High Risk
automotive protective films,automotive_accessories_exterior,Automotive,High Risk
automotive reflectors,automotive_accessories_exterior,Automotive,High Risk
automotive running boards,automotive_accessories_exterior,Automotive,High Risk
automotive side window wind deflectors,automotive_accessories_exterior,Automotive,High Risk
automotive ski racks,automotive_accessories_exterior,Automotive,High Risk
automotive snow plow attachments,automotive_accessories_exterior,Automotive,High Risk
automotive spare tire carriers,automotive_accessories_exterior,Automotive,High Risk
automotive spoilers and wings,automotive_accessories_exterior,Automotive,High Risk
automotive step rails,automotive_accessories_exterior,Automotive,High Risk
automotive tire and wheel covers,automotive_accessories_exterior,Automotive,High Risk
automotive tow bars,automotive_accessories_exterior,Automotive,High Risk
automotive towing brake controls,automotive_accessories_exterior,Automotive,High Risk
automotive towing hitch mounts,automotive_accessories_exterior,Automotive,High Risk
automotive towing mirrors,automotive_accessories_exterior,Automotive,High Risk
automotive towing rail kits,automotive_accessories_exterior,Automotive,High Risk
automotive towing wiring,automotive_accessories_exterior,Automotive,High Risk
automotive truck bed side rail anchors,automotive_accessories_exterior,Automotive,High Risk
automotive vinyl wrap accessories,automotive_accessories_exterior,Automotive,High Risk
automotive vinyl wraps,automotive_accessories_exterior,Automotive,High Risk
automotive visor accessories,automotive_accessories_exterior,Automotive,High Risk
automotive weight distributing hitches,automotive_accessories_exterior,Automotive,High Risk
automotive window tinting kits,automotive_accessories_exterior,Automotive,High Risk
automotive windshield snow covers,automotive_accessories_exterior,Automotive,High Risk
ball mount hitches,automotive_accessories_exterior,Automotive,High Risk
boat covers,automotive_accessories_exterior,Automotive,High Risk
car covers,automotive_accessories_exterior,Automotive,High Risk
parking gadgets,automotive_accessories_exterior,Automotive,High Risk
powersports chain and sprocket kits,automotive_accessories_exterior,Automotive,High Risk
powersports gun racks,automotive_accessories_exterior,Automotive,High Risk
powersports luggage racks,automotive_accessories_exterior,Automotive,High Risk
powersports plows,automotive_accessories_exterior,Automotive,High Risk
powersports trailer hitches,automotive_accessories_exterior,Automotive,High Risk
powersports vehicle covers,automotive_accessories_exterior,Automotive,High Risk
rv and trailer covers,automotive_accessories_exterior,Automotive,High Risk
rv awnings,automotive_accessories_exterior,Automotive,High Risk
rv chocks and blocks,automotive_accessories_exterior,Automotive,High Risk
rv levelers,automotive_accessories_exterior,Automotive,High Risk
rv patio awnings,automotive_accessories_exterior,Automotive,High Risk
rv stabilizers,automotive_accessories_exterior,Automotive,High Risk
rv steps,automotive_accessories_exterior,Automotive,High Risk
rv wheel and tire covers,automotive_accessories_exterior,Automotive,High Risk
sports fan license plate frames,automotive_accessories_exterior,Automotive,High Risk
surfboard car racks,automotive_accessories_exterior,Automotive,High Risk
towing couplers,automotive_accessories_exterior,Automotive,High Risk
towing hitch balls,automotive_accessories_exterior,Automotive,High Risk
towing hooks,automotive_accessories_exterior,Automotive,High Risk
towing receivers,automotive_accessories_exterior,Automotive,High Risk
towing straps,automotive_accessories_exterior,Automotive,High Risk
trailer axles,automotive_accessories_exterior,Automotive,High Risk
trailer connectors,automotive_accessories_exterior,Automotive,High Risk
trailer equipment,automotive_accessories_exterior,Automotive,High Risk
trailer fenders,automotive_accessories_exterior,Automotive,High Risk
trailer hitch locks,automotive_accessories_exterior,Automotive,High Risk
trailer hubs,automotive_accessories_exterior,Automotive,High Risk
truck bed accessories,automotive_accessories_exterior,Automotive,High Risk
truck bed extenders,automotive_accessories_exterior,Automotive,High Risk
truck bed liners,automotive_accessories_exterior,Automotive,High Risk
truck bed side rails,automotive_accessories_exterior,Automotive,High Risk
truck cargo bed cover accessories,automotive_accessories_exterior,Automotive,High Risk
truck cargo bed covers,automotive_accessories_exterior,Automotive,High Risk
truck cargo bed mats,automotive_accessories_exterior,Automotive,High Risk
truck ladder racks,automotive_accessories_exterior,Automotive,High Risk
truck tailgate locks,automotive_accessories_exterior,Automotive,High Risk
truck tool boxes,automotive_accessories_exterior,Automotive,High Risk
winch quick connect systems,automotive_accessories_exterior,Automotive,High Risk
winch recovery straps,automotive_accessories_exterior,Automotive,High Risk
winch remote control systems,automotive_accessories_exterior,Automotive,High Risk
automotive wheel chocks,automotive_accessories_exterior,Automotive,High Risk
automotive cargo brackets,automotive_accessories_exterior,Automotive,High Risk
automotive lug nut covers,automotive_accessories_exterior,Automotive,High Risk
automotive valances,automotive_accessories_exterior,Automotive,High Risk
automotive window louvers,automotive_accessories_exterior,Automotive,High Risk
automotive battery,automotive_batteries,Automotive,High Risk
powersports battery,automotive_batteries,Automotive,High Risk
boat engine parts,automotive_boats_parts_equipment,Automotive,High Risk
boat engine spare parts kits,automotive_boats_parts_equipment,Automotive,High Risk
boat fenders,automotive_boats_parts_equipment,Automotive,High Risk
boat fuel filters,automotive_boats_parts_equipment,Automotive,High Risk
boat fuel tanks,automotive_boats_parts_equipment,Automotive,High Risk
boating anchors,automotive_boats_parts_equipment,Automotive,High Risk
boating bilge pumps,automotive_boats_parts_equipment,Automotive,High Risk
boating control cables,automotive_boats_parts_equipment,Automotive,High Risk
boating deck hardware,automotive_boats_parts_equipment,Automotive,High Risk
boating electrical equipment,automotive_boats_parts_equipment,Automotive,High Risk
boating equipment,automotive_boats_parts_equipment,Automotive,High Risk
boating hardware and maintenance supplies,automotive_boats_parts_equipment,Automotive,High Risk
boating navigation lights,automotive_boats_parts_equipment,Automotive,High Risk
boating rocker switches,automotive_boats_parts_equipment,Automotive,High Risk
boating spotlights,automotive_boats_parts_equipment,Automotive,High Risk
boating strobe and safety lights,automotive_boats_parts_equipment,Automotive,High Risk
boating water pressure pumps,automotive_boats_parts_equipment,Automotive,High Risk
boat propellers,automotive_boats_parts_equipment,Automotive,High Risk
boat storage,automotive_boats_parts_equipment,Automotive,High Risk
boat trailer guides and rollers,automotive_boats_parts_equipment,Automotive,High Risk
boat vents and deck plates,automotive_boats_parts_equipment,Automotive,High Risk
electric trolling motors,automotive_boats_parts_equipment,Automotive,High Risk
inboard outboard boat motors,automotive_boats_parts_equipment,Automotive,High Risk
outboard motors,automotive_boats_parts_equipment,Automotive,High Risk
boating interior lights,automotive_boats_parts_equipment,Automotive,High Risk
boating wire,automotive_boats_parts_equipment,Automotive,High Risk
boat trailer tie downs,automotive_boats_parts_equipment,Automotive,High Risk
automotive brake cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive cleaning kits,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive cleaning products,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive cleaning sponges and mitts,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive detailing tools,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive drying chamois,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive engine degreasers,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive exterior cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive glass cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive hand cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive ice scrapers,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive leather cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive metal cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive microfiber drying chamois,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive plastic protectants,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive polishing and waxing kits,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive polishing clays,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive power polishers and buffers,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive rust treatment chemicals,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive snow brushes,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive tire cleaners and polishes,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive vinyl cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive washing nozzles,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive weather stripping products,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive windshield washer nozzles,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive windshield washer pumps,automotive_cleaning_tools_supplies,Automotive,High Risk
boating cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
car washing applicators,automotive_cleaning_tools_supplies,Automotive,High Risk
car washing brushes,automotive_cleaning_tools_supplies,Automotive,High Risk
car waxes,automotive_cleaning_tools_supplies,Automotive,High Risk
headlight lens restorers,automotive_cleaning_tools_supplies,Automotive,High Risk
leather upholstery cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
power polisher and buffer pads,automotive_cleaning_tools_supplies,Automotive,High Risk
rv cleaning and maintenance equipment,automotive_cleaning_tools_supplies,Automotive,High Risk
rv sewer chemicals and cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
waterless automotive wash treatments,automotive_cleaning_tools_supplies,Automotive,High Risk
wheel cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive upholstery cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive care products,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive fuel system cleaners,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive lithium grease,automotive_cleaning_tools_supplies,Automotive,High Risk
rv roof maintenance kits,automotive_cleaning_tools_supplies,Automotive,High Risk
windshield washer fluids,automotive_cleaning_tools_supplies,Automotive,High Risk
automotive decals,automotive_decals,Automotive,High Risk
automotive decorative emblems,automotive_decals,Automotive,High Risk
automotive magnets,automotive_decals,Automotive,High Risk
powersports graphics kits,automotive_decals,Automotive,High Risk
sports fan automotive decals,automotive_decals,Automotive,High Risk
powersports graphics,automotive_decals,Automotive,High Risk
automotive diagnostic tools,automotive_diagnostic_tools,Automotive,High Risk
automotive engine code scanners,automotive_diagnostic_tools,Automotive,High Risk
automotive vacuum testers,automotive_diagnostic_tools,Automotive,High Risk
digital tire gauges,automotive_diagnostic_tools,Automotive,High Risk
tire gauges,automotive_diagnostic_tools,Automotive,High Risk
tire pressure monitoring sensors,automotive_diagnostic_tools,Automotive,High Risk
tire pressure monitoring tools,automotive_diagnostic_tools,Automotive,High Risk
tire pressure monitoring system products,automotive_diagnostic_tools,Automotive,High Risk
automotive toggle switches,automotive_electronics,Automotive,High Risk
rv appliances,automotive_electronics,Automotive,High Risk
rv electronics,automotive_electronics,Automotive,High Risk
rv fans,automotive_electronics,Automotive,High Risk
rv power converters,automotive_electronics,Automotive,High Risk
vehicle electronics,automotive_electronics,Automotive,High Risk
automotive air conditioning refrigerant,automotive_fluids,Automotive,High Risk
automotive antifreeze,automotive_fluids,Automotive,High Risk
automotive diesel additives,automotive_fluids,Automotive,High Risk
automotive gas additives,automotive_fluids,Automotive,High Risk
transmission fluids,automotive_fluids,Automotive,High Risk
automotive hydraulic fluids,automotive_fluids,Automotive,High Risk
automotive heavy duty antifreeze coolant diesel exhaust fluid,automotive_fluids,Automotive,High Risk
auto floor jacks,automotive_lifts_jacks,Automotive,High Risk
automotive lift supports,automotive_lifts_jacks,Automotive,High Risk
clearfloor lifts,automotive_lifts_jacks,Automotive,High Risk
jack stands,automotive_lifts_jacks,Automotive,High Risk
powersports stands,automotive_lifts_jacks,Automotive,High Risk
rv jacks,automotive_lifts_jacks,Automotive,High Risk
scissor lift jacks,automotive_lifts_jacks,Automotive,High Risk
stabilizer jacks,automotive_lifts_jacks,Automotive,High Risk
transmission jacks,automotive_lifts_jacks,Automotive,High Risk
vehicle lifts and jacks,automotive_lifts_jacks,Automotive,High Risk
automotive suspension struts,automotive_lifts_jacks,Automotive,High Risk
rv jacks and stabilizers,automotive_lifts_jacks,Automotive,High Risk
automotive gear oils,automotive_oils,Automotive,High Risk
automotive oil additives,automotive_oils,Automotive,High Risk
motor oils,automotive_oils,Automotive,High Risk
powersports engine oils,automotive_oils,Automotive,High Risk
two stroke small engine oil,automotive_oils,Automotive,High Risk
bike oils,automotive_oils,Automotive,High Risk
aftermarket tpms,automotive_parts,Automotive,High Risk
agricultural machinery starters and alternators,automotive_parts,Automotive,High Risk
air conditioning manifolds,automotive_parts,Automotive,High Risk
automotive air cleaner intake hoses,automotive_parts,Automotive,High Risk
automotive air conditioning compressors,automotive_parts,Automotive,High Risk
automotive air conditioning condensers,automotive_parts,Automotive,High Risk
automotive air conditioning vacuum pumps,automotive_parts,Automotive,High Risk
automotive air dams,automotive_parts,Automotive,High Risk
automotive air dryers,automotive_parts,Automotive,High Risk
automotive air filters,automotive_parts,Automotive,High Risk
automotive air fuel ratio sensors,automotive_parts,Automotive,High Risk
automotive air horns,automotive_parts,Automotive,High Risk
automotive alternators,automotive_parts,Automotive,High Risk
automotive automatic transmission parts,automotive_parts,Automotive,High Risk
automotive automatic transmission rebuild kits,automotive_parts,Automotive,High Risk
automotive automatic transmission torque converters,automotive_parts,Automotive,High Risk
automotive axle bearing and hub assemblies,automotive_parts,Automotive,High Risk
automotive backup alarms,automotive_parts,Automotive,High Risk
automotive battery switches,automotive_parts,Automotive,High Risk
automotive battery terminals,automotive_parts,Automotive,High Risk
automotive body armor,automotive_parts,Automotive,High Risk
automotive body clips,automotive_parts,Automotive,High Risk
automotive body kits,automotive_parts,Automotive,High Risk
automotive body parts,automotive_parts,Automotive,High Risk
automotive body reservoirs,automotive_parts,Automotive,High Risk
automotive brake hydraulics,automotive_parts,Automotive,High Risk
automotive brake lines,automotive_parts,Automotive,High Risk
automotive braking system equipment,automotive_parts,Automotive,High Risk
automotive bumpers,automotive_parts,Automotive,High Risk
automotive cabin air filters,automotive_parts,Automotive,High Risk
automotive carburetors,automotive_parts,Automotive,High Risk
automotive cargo boxes,automotive_parts,Automotive,High Risk
automotive catalytic converters,automotive_parts,Automotive,High Risk
automotive circuit breakers,automotive_parts,Automotive,High Risk
automotive clutch pressure plates and disc sets,automotive_parts,Automotive,High Risk
automotive cold air intake components,automotive_parts,Automotive,High Risk
automotive complete shock assemblies,automotive_parts,Automotive,High Risk
automotive constant velocity half shaft assemblies,automotive_parts,Automotive,High Risk
automotive convertible soft tops,automotive_parts,Automotive,High Risk
automotive convertible tops,automotive_parts,Automotive,High Risk
automotive crankcase ventilation filters,automotive_parts,Automotive,High Risk
automotive cruise control switches,automotive_parts,Automotive,High Risk
automotive dashboards,automotive_parts,Automotive,High Risk
automotive disc brake calipers without pads,automotive_parts,Automotive,High Risk
automotive disc brake kits,automotive_parts,Automotive,High Risk
automotive disc brake pads,automotive_parts,Automotive,High Risk
automotive disc brake rotors,automotive_parts,Automotive,High Risk
automotive distributors,automotive_parts,Automotive,High Risk
automotive door conversion kits,automotive_parts,Automotive,High Risk
automotive door lock switches,automotive_parts,Automotive,High Risk
automotive door moldings,automotive_parts,Automotive,High Risk
automotive door products,automotive_parts,Automotive,High Risk
automotive drive shaft assemblies,automotive_parts,Automotive,High Risk
automotive drive shafts,automotive_parts,Automotive,High Risk
automotive drive shaft shifters,automotive_parts,Automotive,High Risk
automotive electrical accessories,automotive_parts,Automotive,High Risk
automotive electrical wiring harnesses,automotive_parts,Automotive,High Risk
automotive engine camshaft position sensors,automotive_parts,Automotive,High Risk
